#separator:tab
#html:true
#notetype:Basic
#columns:Front	Back	Tags
다음 행렬의 고유치를 구하시오.<br>\[ \begin{pmatrix} 2 & 1 \\ 0 & 3 \end{pmatrix} \]	\( t = 2,\ 3 \)<br>특성방정식 \( \det(A-tI)=(2-t)(3-t)=0 \) (상삼각행렬이라 대각성분이 곧 고유치).	MfPaNSS 04-season-16 07-Linalg-3-geometry ko-kr 계산 고유치
다음 행렬의 고유치를 구하시오.<br>\[ \begin{pmatrix} 1 & 1 \\ 0 & 2 \end{pmatrix} \]	\( t = 1,\ 2 \)<br>특성방정식 \( (1-t)(2-t)=0 \) (상삼각행렬이라 대각성분이 곧 고유치).	MfPaNSS 04-season-16 07-Linalg-3-geometry ko-kr 계산 고유치
회전행렬 \( R(\theta)=\begin{pmatrix} \cos\theta & -\sin\theta \\ \sin\theta & \cos\theta \end{pmatrix} \) 의 고유치를 <b>실수 범위</b>에서 구하시오.	실수 고유치는 존재하지 않는다 (단, \( \theta=k\pi \) 제외).<br>특성방정식 \( t^2-2\cos\theta\,t+1=0 \), 판별식 \( 4\cos^2\theta-4=-4\sin^2\theta\le 0 \) 이므로 실근이 없다.	MfPaNSS 04-season-16 07-Linalg-3-geometry ko-kr 계산 고유치
회전행렬 \( R(\theta)=\begin{pmatrix} \cos\theta & -\sin\theta \\ \sin\theta & \cos\theta \end{pmatrix} \) 의 고유치를 <b>복소수 범위</b>에서 구하시오.	\( t = e^{\pm i\theta} = \cos\theta \pm i\sin\theta \)<br>\( t^2-2\cos\theta\,t+1=0 \Rightarrow t=\cos\theta\pm\sqrt{\cos^2\theta-1}=\cos\theta\pm i\sin\theta \) (오일러 공식).	MfPaNSS 04-season-16 07-Linalg-3-geometry ko-kr 계산 고유치
"선형성이란 무엇인가?"라는 물음에 답하기 전에 먼저 무엇을 특정해야 하는가?	선형성을 붙일 <b>명사</b>를 특정해야 한다.<br>같은 "선형성"이라도 <b>집합의 선형성</b>과 <b>함수의 선형성</b>은 서로 다른 대상이므로, 둘 중 하나를 명확히 하거나 두 경우 모두를 구분해 답해야 한다.	MfPaNSS 04-season-16 07-Linalg-3-geometry ko-kr 암기 정의
함수의 정의를 (집합론적으로) 진술하시오.	집합 \( A,B \) 에 대해 곱집합 \( A\times B \) 의 부분집합 중 다음 두 조건을 만족하는 것을 \( A \) 에서 \( B \) 로의 함수라 한다.<br><b>① 존재성</b>: 각 \( a\in A \) 에 대해 \( (a,b) \) 인 \( b\in B \) 가 존재한다.<br><b>② 유일성</b>: \( (a,b_0),(a,b_1) \) 이 둘 다 들어 있으면 \( b_0=b_1 \).<br>즉 각 \( a \) 에 단 하나의 \( b \) 가 대응한다.	MfPaNSS 04-season-16 07-Linalg-3-geometry ko-kr 암기 정의
집합의 선형성(= 벡터 공간)을 정의하시오.	어떤 집합에 <b>벡터합</b>과 <b>스칼라곱</b>이라는 두 연산이 정의되어 있을 때, 그 집합은 선형성을 갖는다고 하며 이를 <b>벡터 공간</b>이라 한다.<br>형용사가 중요하다 — 그냥 "곱"이 아니라 반드시 "스칼라곱"이다.	MfPaNSS 04-season-16 07-Linalg-3-geometry ko-kr 암기 정의
함수의 선형성(= 선형 함수)을 정의하시오.	정의역과 공역에 각각 벡터합·스칼라곱이 주어졌을 때, 정의역의 <b>벡터합을 공역의 벡터합으로</b>, 정의역의 <b>스칼라곱을 공역의 스칼라곱으로</b> 그대로 옮기는 함수를 선형 함수(선형성을 보존하는 함수)라 한다.<br>이것이 곧 <b>행렬</b>의 정의이다.	MfPaNSS 04-season-16 07-Linalg-3-geometry ko-kr 암기 정의
군 구조를 보존하는 함수와 선형 함수는 무엇이 다른가?	연산의 개수가 다르다.<br><b>군 구조</b>는 연산이 <b>한 개</b>(덧셈 하나: 결합법칙·항등원·역원)에 대한 이야기이고, <b>선형성</b>은 집합 레벨에서 연산이 <b>두 개</b>(교환되는 덧셈군 연산 + 스칼라곱)인 벡터 공간에 대한 이야기이다.<br>선형 함수는 군 구조 보존 함수의 형식을 본떠 "선형 구조를 보존하는 함수"로 새로 정의한 별개의 개념이다.	MfPaNSS 04-season-16 07-Linalg-3-geometry ko-kr 암기 정의
지수함수 \( a^{x+y}=a^x\cdot a^y \) 는 선형 함수인가?	아니다.<br>지수함수는 연산이 한 개인 <b>군 구조를 보존하는 함수</b>의 예시(정의역 \( (\mathbb{R},+) \) → 공역 \( (\mathbb{R}^+,\times) \))일 뿐이다. 선형 함수는 연산이 두 개(벡터합·스칼라곱)인 벡터 공간에서 두 연산을 모두 보존하는 함수이므로, 지수함수와는 다른 대상이다.	MfPaNSS 04-season-16 07-Linalg-3-geometry ko-kr 암기 정의
\( \mathbb{R}^2 \) 에서 선형성만으로 단위벡터 \( (1,0),(0,1) \) 의 크기와 두 축의 각도가 정해지는가?	아니다.<br>우리가 약속한 것은 벡터합·스칼라곱 두 연산이 있다는 것뿐이다. \( (1,0) \) 의 크기를 \( 2 \), \( (0,1) \) 의 크기를 \( 3 \) 으로 두어도, 두 축이 \( 45^\circ \) 로 만난다고 해도 선형성에는 아무 문제가 없다.<br>"단위벡터의 크기가 \( 1 \) 이고 두 축이 \( 90^\circ \)" 는 선형성으로 강제되지 않는 <b>임의적 약속(공리)</b>이다. (단, 크기는 양수여야 선형결합 표현이 유지된다.)	MfPaNSS 04-season-16 07-Linalg-3-geometry ko-kr 암기 정의
벡터 공간 레벨에서 유클리드 기하학과 비유클리드 기하학을 어떻게 구분하는가?	\( (1,0),(0,1) \) 이 만드는 평행사변형의 형상을 정해야 하는데, 이 형상을 <b>정사각형</b>(단위벡터 크기 \( 1 \), 각 \( 90^\circ \))으로 못 박는 것이 <b>유클리드 기하학</b>이고, 그 외 모든 형상을 택하는 것이 <b>비유클리드 기하학</b>이다.<br>곡면이 아니라 평면(벡터 공간) 레벨에서부터 이미 구분된다.	MfPaNSS 04-season-16 07-Linalg-3-geometry ko-kr 암기 정의
평면(\( \mathbb{R}^2 \))의 기하 구조에서 무엇이 "공리"에 해당하는가?	\( (1,0),(0,1) \) 이 만드는 <b>평행사변형의 형상</b>을 무엇으로 정할지가 공리이다.<br>이 형상을 규정하는 표준 도구가 <b>내적</b>이며, 내적을 행렬로 표현한 <b>계량 행렬 \( M \)</b> 이 곧 그 공리이다. \( M=I \)(항등행렬)이면 유클리드 기하, 다르게 두면 비유클리드(리만) 기하가 된다.	MfPaNSS 04-season-16 07-Linalg-3-geometry ko-kr 암기 내적
내적은 선형 함수인가? 또 내적은 무엇 위에서 정의되는가?	<b>내적은 선형 함수가 아니다.</b><br>내적이 정의되는 대상은 그냥 집합이 아니라 이미 선형성이 정해진 <b>벡터 공간</b>이며, 내적은 그 선형성과 호환되도록 정의된 함수 \( \langle\cdot,\cdot\rangle:V\times V\to\mathbb{R} \) 일 뿐이다.<br>내적의 세 공리: ① 선형성, ② 대칭성, ③ 양의 정부호성.	MfPaNSS 04-season-16 07-Linalg-3-geometry ko-kr 암기 내적
계량 행렬 \( M \) 이 정해지면 \( (1,0),(0,1) \) 의 무엇이 결정되는가?	내적 \( \langle x,y\rangle = x^{\mathsf T} M\, y \) 로 표현할 때, \( M=\begin{pmatrix} a & b \\ b & c \end{pmatrix} \) 의 성분이 형상을 결정한다.<br>\( a=\lVert(1,0)\rVert^2 \), \( c=\lVert(0,1)\rVert^2 \), 그리고 \( b=\langle(1,0),(0,1)\rangle \) 이 두 벡터 사이 각도를 정한다.<br>\( M=I \) 면 두 크기 \( 1 \), 각 \( 90^\circ \)(표준 내적·유클리드).	MfPaNSS 04-season-16 07-Linalg-3-geometry ko-kr 암기 내적
(상)삼각행렬의 고유치를 구하는 방법은?	특성방정식 \( \det(A-tI)=0 \) 을 풀면 되는데, 상(하)삼각행렬은 행렬식이 대각성분의 곱이므로 <b>대각성분이 곧 고유치</b>가 된다.<br>예: \( \begin{pmatrix} 2 & 1 \\ 0 & 3 \end{pmatrix} \Rightarrow (2-t)(3-t)=0 \Rightarrow t=2,3 \).	MfPaNSS 04-season-16 07-Linalg-3-geometry ko-kr 암기 고유치
